Customer Review,Sentiment
Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Positive
"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Positive
"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Positive
bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,Positive
"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Positive
"barang bagus, seller ramah..",Positive
mantap paten joss,Positive
"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Positive
barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Positive
Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive
"Pengiriman super cepat, barang bagus, recommended seller, thanks",Positive
alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive
"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Positive
"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive
bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive
"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive
Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Positive
barang udah sampai ya gan dan berfungsi. terima kasih,Positive
barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive
"produk saya terima dengan kondisi baik, terima kasih ^^",Positive
"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive
"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Positive
mantab barang nya oke punya,Positive
"pengiriman cepat, packing rapi, kualitas mantap",Positive
silent dan bagus untuk pekerjaan ringan,Positive
Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Positive
"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive
"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive
mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive
"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive
Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Positive
"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive
Sangat presisi dan pas,Positive
"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive
"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive
Mantap barangnya cepet sampai dan enak digunainnya!,Positive
"Barang bagus,oke, cepat pengirimannya juga",Positive
"Pengiriman cepat, seller responsif ??",Positive
Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Positive
"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive
Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative
"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative
gak bisa di pakai??,Negative
Kecewa parah nggk berkah jualan gitu,Negative
kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Negative
